#,What is your Ethereum address? ,Which Aavegotchi ID would you like to receive your XP?,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags
58g1zrrfvon8unxisk58g1zuht97lkn3,0xC727Bff1962590C71A6CB56C6D11F37beE740A5D,19221,completed,2024-03-26 14:17:43,,2024-03-26 14:18:14,8337c0c55c,
nqdebtr1nu0o0x8t1cnqdebt2zx2iaby,0x2127AA7265D573Aa467f1D73554D17890b872E76,#22899,completed,2024-03-23 23:20:02,,2024-03-23 23:21:23,9a558c9702,
tqfwb6c1sdhun69itqfv33f54m3mvy73,0xAA521710653CDAB5e9cE755e26c1aD73f8bCf14E,4678,completed,2024-03-23 13:14:06,,2024-03-23 13:15:25,dd63d39584,
8rukuj30afkdzbb9xc8rukuj320zjr6v,0xba39C047714B4CA6244Dc433D3AE3924691e0171,14285,completed,2024-03-22 20:45:50,,2024-03-22 20:46:48,4bd908ce88,
95kr348p5epfyg9ty64gy95kr32axr8p,0xfFea5a2cfAF1AaFbB87A1FE4eED5413DA45C30a0,22664,completed,2024-03-22 20:16:43,,2024-03-22 20:23:34,3432362159,
j5r9okuerlx3tnks0sj5r9op2vyaflrg,0x8B200F4c81c54d9014B4cDA3F16501069FA20Ab9,9349,completed,2024-03-22 15:50:03,,2024-03-22 15:51:41,5615d02d3e,
2td99mvwf0r3wnhqaqys2rm2td99m8yj,0x3bd59eD16c462b4464091830DAB828dce079076f,3475,completed,2024-03-22 14:43:44,,2024-03-22 14:44:21,90537a375f,
argb4idz7k0hvayb2vxc40bvargb4ijj,0x748a9FB91ADE6d9CD48AB1D1AF6F4c27620B703C,12219,completed,2024-03-22 14:02:35,,2024-03-22 14:03:24,4b9146c76b,
k91hb8ur0z9zuboqv6k91hbczezlx8wh,0xa9465D03BA38726277B3E478AC98Aa063A0c8D0a,17444,completed,2024-03-22 13:46:31,,2024-03-22 13:51:31,93a4affce7,
65f2bxxiytqe9mpxs65f2bei4ayt757s,0xc6F292c074E40094f1ef0Fe2C3CB8a2842E3fcaB,#23421,completed,2024-03-22 12:43:25,,2024-03-22 12:47:14,8ce4dd9ba2,
